(title "exper_k_over_u2")	
(labels "v1" "v2")	

((xy/key/label "exper_k_over_u2")	
5.16E-03	3.43E-02
5.21E-03	3.44E-02
5.26E-03	3.46E-02
5.31E-03	3.47E-02
5.36E-03	3.49E-02
5.41E-03	3.51E-02
5.46E-03	3.52E-02
5.51E-03	3.54E-02
5.57E-03	3.55E-02
5.64E-03	3.57E-02
5.70E-03	3.58E-02
5.78E-03	3.60E-02
5.85E-03	3.61E-02
5.93E-03	3.63E-02
6.01E-03	3.64E-02
6.10E-03	3.66E-02
6.19E-03	3.67E-02
6.27E-03	3.69E-02
6.36E-03	3.70E-02
6.45E-03	3.72E-02
6.53E-03	3.73E-02
6.62E-03	3.75E-02
6.71E-03	3.76E-02
6.80E-03	3.78E-02
6.88E-03	3.79E-02
6.97E-03	3.81E-02
7.06E-03	3.83E-02
7.14E-03	3.84E-02
7.23E-03	3.86E-02
7.32E-03	3.87E-02
7.40E-03	3.89E-02
3.57E-03	3.90E-02
0.00E+00	3.92E-02

)	
