1	1	0.0	0.0	0
1	2	0.000322	-0.003059	0
1	3	0.000894	-0.005155	0
1	4	0.001777	-0.007318	0
1	5	0.003007	-0.009544	0
1	6	0.004621	-0.011797	0
1	7	0.006653	-0.014058	0
1	8	0.009117	-0.016316	0
1	9	0.012012	-0.018579	0
1	10	0.015371	-0.020871	0
1	11	0.01931	-0.023217	0
1	12	0.023982	-0.025653	0
1	13	0.029567	-0.028218	0
1	14	0.036254	-0.030913	0
1	15	0.044211	-0.033717	0
1	16	0.053594	-0.036612	0
1	17	0.064541	-0.039548	0
1	18	0.077039	-0.042449	0
1	19	0.090903	-0.04522	0
1	20	0.105827	-0.047784	0
1	21	0.121548	-0.050098	0
1	22	0.137852	-0.052138	0
1	23	0.154596	-0.053909	0
1	24	0.171676	-0.055421	0
1	25	0.189011	-0.056692	0
1	26	0.206544	-0.057733	0
1	27	0.224236	-0.058562	0
1	28	0.24206	-0.059191	0
1	29	0.259997	-0.059634	0
1	30	0.278033	-0.059903	0
1	31	0.296159	-0.060009	0
1	32	0.314366	-0.059965	0
1	33	0.332648	-0.059779	0
1	34	0.350989	-0.059462	0
1	35	0.369372	-0.059023	0
1	36	0.387789	-0.058466	0
1	37	0.406241	-0.057796	0
1	38	0.42474	-0.057019	0
1	39	0.443287	-0.056144	0
1	40	0.461875	-0.055178	0
1	41	0.480488	-0.054127	0
1	42	0.499117	-0.052996	0
1	43	0.517763	-0.051786	0
1	44	0.53643	-0.050503	0
1	45	0.555117	-0.049149	0
1	46	0.573821	-0.047728	0
1	47	0.592538	-0.046245	0
1	48	0.611266	-0.044701	0
1	49	0.630004	-0.043098	0
1	50	0.648751	-0.04144	0
1	51	0.667502	-0.039728	0
1	52	0.686255	-0.037964	0
1	53	0.705012	-0.036149	0
1	54	0.72378	-0.034284	0
1	55	0.74256	-0.03237	0
1	56	0.761336	-0.030413	0
1	57	0.780088	-0.028414	0
1	58	0.798819	-0.026366	0
1	59	0.817558	-0.024266	0
1	60	0.836311	-0.022119	0
1	61	0.855041	-0.019931	0
1	62	0.873723	-0.0177	0
1	63	0.892372	-0.01542	0
1	64	0.910956	-0.013101	0
1	65	0.929323	-0.010765	0
1	66	0.947231	-0.008434	0
1	67	0.964244	-0.006169	0
1	68	0.979641	-0.004079	0
1	69	0.992704	-0.002274	0
1	70	1	0	0
